ID,name,lat,lon,href
05903,Gravelines,51.04,2.07,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNTkwMw==
08002,Baie de Somme,50.25,1.33,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wODAwMg==
07610,Port d’Antifer,49.66,0.14,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNzYxMA==
07611,Le Havre – Nord du mouillage,49.48,0.01,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNzYxMQ==
07609,Le Havre – Haut du Sud-Ouest,49.47,0.08,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNzYwOQ==
05008,Cherboug,49.69,-1.62,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNTAwOA==
02911,Les Pierres Noires,48.29,-4.97,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMjkxMQ==
05602,Belle-Ile,47.28,-3.28,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNTkwMw==
04403,Plateau du Four,47.24,-2.78,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNDQwMw==
08505,Noirmoutier,46.92,-2.47,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wODUwNQ==
08504,Ile d’Yeu Nord,46.83,-2.29,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wODUwNA==
01704,Oléron Large,45.92,-1.83,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMTcwNA==
01705,Royan,45.61,-1.03,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMTcwNQ==
03302,Cap Ferret,44.65,-1.45,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMzMwMg==
06402,Anglet,43.53,-1.61,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNjQwMg==
06403,Saint-Jean-de-Luz,43.41,-1.68,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNjQwMw==
06601,Banyuls,42.49,3.17,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wNjYwMQ==
01101,Leucate,42.92,3.12,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMTEwMQ==
03404,Sète,43.37,3.78,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMzQwNA==
03001,Espiguette,43.41,4.16,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMzAwMQ==
01305,Le Planier,43.21,5.23,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMTMwNQ==
08302,Porquerolles,42.97,6.2,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wODMwMg==
98000,Monaco,43.71,7.43,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD05ODAwMA==
02B04,La Revellata,42.57,8.65,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMkIwNA==
02B05,Alistro,42.26,9.64,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMkIwNQ==
02A01,Bonifacio,41.32,8.88,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD0wMkEwMQ==
97501,Saint-Pierre et Miquelon,46.7,-56.18,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD05NzQwMw==
97801,Saint-Martin,18.14,-62.99,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD05ODAwMA==
97403,Rivière des Galets,-20.94,55.28,https://candhis.cerema.fr/_public_/campagne.php?Y2FtcD05NzQwMw==
